country,iso3,year,under_sanctions,scope,stated_justification,legal_authority,layer1_ofac_events,layer2_multilateral,layer3_agency_actions,layer4_kinetic,eiii_score,polity,friction,degradation,resource_density,fiscal_pressure,gdp_pc_log,trend,vdem_electoral,vdem_elections,eiii_equal,eiii_rawcount,eiii_financial,friction_z,resource_density_z,fiscal_pressure_z,gdp_pc_log_z,trend_z,regime_z,fric_x_fiscal
Iraq,IRQ,2007,1,comprehensive,national_security,IEEPA,0,350,0,5,355,-3.0,3.4052,1,53.22,1.638,8.048,62,0.426,0.428,2,55,350,-0.08306840881349635,2.968685120836203,-0.3013134409811321,0.673600399791639,0.18618070140878892,1.2499322893388907,0.025029628096421987
Iraq,IRQ,2008,1,comprehensive,national_security,IEEPA,0,53,0,5,58,-3.0,3.259,1,55.69,1.711,8.421,63,0.426,0.432,2,55,53,-0.29241625849113767,3.1456803804536686,-0.1878079388637845,0.9833260846575145,0.2675587040670422,1.2499322893388907,0.05491809479748019
Iraq,IRQ,2009,1,comprehensive,national_security,IEEPA,0,0,0,5,5,-3.0,3.2558,1,39.51,1.291,8.22,64,0.425,0.432,1,5,0,-0.2969984275675294,1.9862539429595032,-0.8408532935115364,0.816422967611829,0.3489367067252954,1.243372155776692,0.2497321059879046
Iraq,IRQ,2010,1,comprehensive,national_security,IEEPA,0,367,0,3,370,3.0,3.1631,1,43.57,1.304,8.403,65,0.414,0.407,2,53,367,-0.4297381379992484,2.2771854223307217,-0.8206399849152963,0.9683795368623792,0.43031470938354865,1.171210686592504,0.3526602990852308
Iraq,IRQ,2011,1,comprehensive,national_security,IEEPA,0,28,0,3,31,3.0,2.9576,1,51.19,1.474,8.661,66,0.413,0.401,2,31,28,-0.7239993083737721,2.823219381150594,-0.5563121032721589,1.1826133885926629,0.5116927120418019,1.164650553030305,0.4027695780090015
Iraq,IRQ,2012,1,comprehensive,national_security,IEEPA,0,0,0,1,1,3.0,3.0268,1,49.85,1.356,8.776,67,0.41,0.401,1,1,0,-0.6249099020968032,2.7271976613581232,-0.7397867505303365,1.2781052217282547,0.5930707147000551,1.1449701523437084,0.46230006584642475
Iraq,IRQ,2013,1,comprehensive,national_security,IEEPA,0,0,0,1,1,3.0,3.0628,1,45.58,1.309,8.802,68,0.414,0.382,1,1,0,-0.5733604999873976,2.4212180020194283,-0.8128656354552042,1.2996946796545623,0.6744487173583084,1.171210686592504,0.4660650471671695
Iraq,IRQ,2014,1,comprehensive,national_security,IEEPA,2,3,0,5,10,6.0,3.2458,1,46.85,1.3,8.74,69,0.403,0.362,3,10,5,-0.31131770593125285,2.5122236618227403,-0.8268594644833701,1.2482121261379828,0.7558267200165616,1.0990492174083164,0.25741599161050704
Iraq,IRQ,2015,1,comprehensive,national_security,IEEPA,0,9,0,5,14,6.0,3.3293,1,37.5,1.22,8.398,70,0.396,0.349,2,14,9,-0.19175173159415954,1.8422213632707969,-0.9512490558448468,0.9642277180303963,0.8372047226748148,1.053128282472924,0.18240365363555874
Iraq,IRQ,2016,1,comprehensive,national_security,IEEPA,0,322,0,5,327,6.0,3.3587,1,33.22,1.276,8.374,71,0.39,0.33,2,55,322,-0.14965305320481184,1.5355251239336505,-0.8641763418918131,0.9442989876368822,0.9185827253330681,1.0137674810997308,0.12932662807147519
Iraq,IRQ,2017,1,comprehensive,national_security,IEEPA,0,57,0,5,62,6.0,3.5648,1,39.2,1.339,8.468,72,0.375,0.33,2,55,57,0.14546727387153524,1.964039963007514,-0.7662195386946504,1.0223531816781481,0.9999607279913213,0.9153654776667471,-0.1114598674810161
Iraq,IRQ,2018,1,comprehensive,national_security,IEEPA,0,40,0,3,43,6.0,3.2987,1,46.15,1.573,8.639,73,0.398,0.342,2,43,40,-0.2355687233871539,2.462063061931151,-0.40237998396233166,1.1643453857319406,1.0813387306495745,1.066248549597322,0.09478813913854993
Iraq,IRQ,2019,1,comprehensive,national_security,IEEPA,0,0,0,3,3,6.0,3.4976,1,40.61,1.742,8.643,74,0.393,0.365,1,3,0,0.04924172326731131,2.0650777427891436,-0.1396069722112125,1.1676668407975275,1.1627167333078277,1.0334478817863273,-0.006874487891811746
Iraq,IRQ,2020,1,comprehensive,national_security,IEEPA,0,1,0,3,4,6.0,3.4253,1,27.42,1.616,8.365,75,0.376,0.359,2,4,1,-0.05428665930241125,1.1199087248319104,-0.3355205786055378,0.9368257137393139,1.244094735966081,0.9219256112289461,0.018214291339706725
Iraq,IRQ,2021,1,comprehensive,national_security,IEEPA,0,0,0,3,3,6.0,3.3502,1,43.45,1.485,8.491,76,0.374,0.37,1,3,0,-0.16182443981397665,2.2685864623493064,-0.5392085344599556,1.0414515483052662,1.3254727386243341,0.9088053441045483,0.08725711903189765
Laos,LAO,1984,1,comprehensive,national_security,TWEA,0,0,0,0,0,-7.0,4.0058,0,1.92,2.752,6.18,39,0.069,0.0,0,0,0,0.7769474497117531,-0.7073702712188445,1.4308116187274282,-0.8775191158369309,-1.6855133597310354,-1.0920353923661146,1.1116654381882207
Laos,LAO,1985,1,comprehensive,national_security,TWEA,0,0,0,0,0,-7.0,4.1414,0,1.52,2.984,6.45,40,0.069,0.0,0,0,0,0.9711168643238477,-0.7360334711568957,1.7915414336757103,-0.6533208989098889,-1.6041353570727823,-1.0920353923661146,1.7397960993774064
Laos,LAO,1986,1,comprehensive,national_security,TWEA,0,0,0,0,0,-7.0,4.256,0,2.88,2.97,6.135,41,0.069,0.0,0,0,0,1.1352157943721224,-0.6385785913675219,1.7697732551874523,-0.9148854853247711,-1.522757354414529,-1.0920353923661146,2.0090745517461603
Laos,LAO,1987,1,comprehensive,national_security,TWEA,0,0,0,0,0,-7.0,4.2445,0,5.01,2.855,5.616,42,0.07,0.0,0,0,0,1.1187486242538403,-0.48594705169740016,1.5909632176053294,-1.345844280084529,-1.4413793517562759,-1.0854752588039156,1.7798879109344254
Laos,LAO,1988,1,comprehensive,national_security,TWEA,0,0,0,0,0,-7.0,4.0275,0,9.13,2.899,4.991,43,0.07,0.0,0,0,0,0.8080202837610337,-0.19071609233547424,1.6593774928541416,-1.8648216340823105,-1.3600013490980225,-1.0854752588039156,1.3408106726426763
Laos,LAO,1989,1,comprehensive,national_security,TWEA,0,14,0,0,14,-7.0,3.7321,0,7.8,2.995,5.138,44,0.113,0.085,1,14,14,0.3850288008966339,-0.2860212321294941,1.8086450024879135,-1.7427581604220321,-1.2786233464397694,-0.8033895156293632,0.6963804165556108
Laos,LAO,1990,1,comprehensive,national_security,TWEA,0,15,0,0,15,-7.0,3.6932,0,6.88,3.091,5.302,45,0.116,0.11,1,15,15,0.3293268080617485,-0.3519465919870115,1.9579125121216856,-1.6065785027330144,-1.197245343781516,-0.7837091149427665,0.6447930780811942
Laos,LAO,1991,1,comprehensive,national_security,TWEA,0,24,0,0,24,-7.0,3.6436,0,6.99,3.158,5.446,46,0.085,0.109,1,24,24,0.2583031873776788,-0.3440642120040474,2.0620887948869218,-1.4870061203719256,-1.115867341123263,-0.9870732553709322,0.5326441083750885
Laos,LAO,1992,1,comprehensive,national_security,TWEA,0,29,0,0,29,-7.0,3.6762,0,7.1,3.057,5.511,47,0.085,0.109,1,29,29,0.30498403484341824,-0.3361818320210834,1.9050469357930575,-1.4330324755561559,-1.0344893384650096,-0.9870732553709322,0.581008901044257
Laos,LAO,1993,1,comprehensive,national_security,TWEA,0,43,0,0,43,-7.0,3.8366,0,6.1,2.897,5.647,48,0.085,0.119,1,43,43,0.534665259797547,-0.4078398318662111,1.6562677530701044,-1.3201030033262384,-0.9531113358067564,-0.9870732553709322,0.8855488284895268
Laos,LAO,1994,1,comprehensive,national_security,TWEA,0,18,0,0,18,-7.0,4.0367,0,6.44,2.785,5.771,49,0.085,0.119,1,18,18,0.8211940198556594,-0.3834761119188676,1.4821223251640379,-1.217137896293079,-0.8717333331485031,-0.9870732553709322,1.217109990119273
Laos,LAO,1995,1,comprehensive,national_security,TWEA,0,42,0,0,42,-7.0,4.4521,0,9.06,3.039,5.88,50,0.085,0.119,1,42,42,1.4160168430847448,-0.1957321523246332,1.8770592777367257,-1.1266282457558658,-0.7903553304902499,-0.9870732553709322,2.6579475527436895
Lebanon,LBN,2007,1,targeted,terrorism,IEEPA,4,0,0,0,4,6.0,3.4491,0,0.0,1.638,8.542,62,0.442,0.327,1,4,4,-0.02020677679674862,-0.8449536309214897,-0.3013134409811321,1.0838001003914852,0.18618070140878892,1.3548944263340732,0.0060885734477660255
Lebanon,LBN,2008,1,targeted,terrorism,IEEPA,0,0,0,0,0,6.0,3.3708,0,0.0,1.711,8.685,63,0.443,0.332,0,0,0,-0.13232672638470577,-0.8449536309214897,-0.1878079388637845,1.2025421189861782,0.2675587040670422,1.3614545598962722,0.02485200973890356
Lebanon,LBN,2009,1,targeted,terrorism,IEEPA,0,0,0,0,0,6.0,3.309,0,0.0,1.291,8.867,64,0.467,0.362,0,0,0,-0.22081986667251843,-0.8449536309214897,-0.8408532935115364,1.3536683244703327,0.3489367067252954,1.5188977653890456,0.18567711216436547
Lebanon,LBN,2010,1,targeted,terrorism,IEEPA,0,0,0,0,0,6.0,3.1513,0,0.0,1.304,8.939,65,0.466,0.386,0,0,0,-0.4466348864684425,-0.8449536309214897,-0.8206399849152963,1.4134545156508764,0.43031470938354865,1.5123376318268469,0.36652644649410776
Lebanon,LBN,2011,1,targeted,terrorism,IEEPA,0,0,0,0,0,6.0,3.2028,0,0.0,1.474,8.966,66,0.479,0.386,0,0,0,-0.37289060289526527,-0.8449536309214897,-0.5563121032721589,1.4358743373435798,0.5116927120418019,1.597619368135432,0.20744355558708838
Lebanon,LBN,2012,1,targeted,terrorism,IEEPA,0,0,0,0,0,6.0,3.3702,0,0.0,1.356,9.037,67,0.477,0.386,0,0,0,-0.1331858830865291,-0.8449536309214897,-0.7397867505303365,1.4948301647577291,0.5930707147000551,1.5844991010110343,0.09852915166509667
Lebanon,LBN,2013,1,targeted,terrorism,IEEPA,0,0,0,0,0,6.0,3.4582,0,0.0,1.309,9.007,68,0.486,0.418,0,0,0,-0.007176233485759838,-0.8449536309214897,-0.8128656354552042,1.4699192517658346,0.6744487173583084,1.6435403030708244,0.005833313592577086
Lebanon,LBN,2014,1,targeted,terrorism,IEEPA,0,0,0,0,0,6.0,3.3839,1,0.0,1.3,8.933,69,0.486,0.418,0,0,0,-0.11356847172822747,-0.8449536309214897,-0.8268594644833701,1.4084723330524975,0.7558267200165616,1.6435403030708244,0.09390516571539692
Lebanon,LBN,2015,1,targeted,terrorism,IEEPA,0,0,0,0,0,6.0,3.4623,1,0.0,1.22,8.951,70,0.48,0.418,0,0,0,-0.0013053293566334223,-0.8449536309214897,-0.9512490558448468,1.4234188808476342,0.8372047226748148,1.604179501697631,0.0012416933180641042
